ANALYTE_GROUP,Name,USGS,USGS_start,USGS_end,USGS_SFN_start,USGS_SFN_end,USGS_GFN_start,USGS_GFN_end,WQ_start,WQ_end,WQ_SFN_start,WQ_SFN_end,WQ_GFN_start,WQ_GFN_end,blankTime_start,blankTime_end,years
Alkalinity,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,09/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Chloride,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,09/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Dissolved oxygen,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Fluoride,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Nitrate-nitrite as N,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Organic nitrogen,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Orthophosphate as P,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
pH,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Specific conductance,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Sulfate,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,2/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Temperature,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total dissolved solids,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total organic carbon,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total phosphorus as P,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
True color,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Turbidity,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Dissolved oxygen,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Fluoride,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Nitrate-nitrite as N,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Organic nitrogen,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1977,12/31/2022,1/1/1967,12/31/2022,2/1/1977,12/31/2022,1/1/1977,12/31/2022,1/1/1977,12/31/2019,,,43
Orthophosphate as P,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
pH,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Specific conductance,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Sulfate,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Temperature,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1976,12/31/2022,1/1/1966,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2019,,,44
Total organic carbon,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,1/1/1986,12/31/2009,46
Total phosphorus as P,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
True color,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Turbidity,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Dissolved oxygen,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Fluoride,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Nitrate-nitrite as N,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Organic nitrogen,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1977,12/31/2022,1/1/1967,12/31/2022,2/1/1977,12/31/2022,1/1/1977,12/31/2022,1/1/1977,12/31/2019,,,43
Orthophosphate as P,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1991,12/31/2022,1/1/1981,12/31/2022,11/1/1990,12/31/2022,1/1/1991,12/31/2022,1/1/1991,12/31/2019,,,29
pH,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Specific conductance,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Sulfate,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Temperature,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1976,12/31/2022,1/1/1966,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2019,,,44
Total organic carbon,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,1/1/1986,12/31/2009,46
Total phosphorus as P,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
True color,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Turbidity,Alafia R South Pr,2301300,1/1/1963,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Chloride,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/2007,12/31/2022,1/1/1997,12/31/2022,10/1/2006,12/31/2022,1/1/2007,12/31/2022,1/1/2007,12/31/2019,,,13
Dissolved oxygen,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Fluoride,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Nitrate-nitrite as N,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Organic nitrogen,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Orthophosphate as P,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1991,12/31/2022,1/1/1981,12/31/2022,11/1/1990,12/31/2022,1/1/1991,12/31/2022,1/1/1991,12/31/2019,,,29
pH,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Specific conductance,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Sulfate,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,8/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,1/1/2003,12/31/2004,21
Temperature,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Total dissolved solids,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/2007,12/31/2022,1/1/1997,12/31/2022,10/1/2006,12/31/2022,1/1/2007,12/31/2022,1/1/2007,12/31/2019,,,13
Total organic carbon,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/2010,12/31/2022,1/1/2000,12/31/2022,4/1/2010,12/31/2022,1/1/2010,12/31/2022,1/1/2010,12/31/2019,,,10
Total phosphorus as P,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
True color,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Turbidity,Blackwater Cr,2302500,1/1/1951,12/31/2022,1/1/1988,12/31/2022,1/1/1978,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2022,1/1/1988,12/31/2019,,,32
Dissolved oxygen,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Fluoride,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Nitrate-nitrite as N,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Organic nitrogen,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Orthophosphate as P,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
pH,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Specific conductance,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Sulfate,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Temperature,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Total organic carbon,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2010,12/31/2022,1/1/2000,12/31/2022,4/1/2010,12/31/2022,1/1/2010,12/31/2022,1/1/2010,12/31/2019,,,10
Total phosphorus as P,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
True color,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Turbidity,Hillsborough R at Morris Br,2303330,1/1/1973,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Chloride,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Dissolved oxygen,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Fluoride,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Nitrate-nitrite as N,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Organic nitrogen,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1977,12/31/2022,1/1/1967,12/31/2022,2/1/1977,12/31/2022,1/1/1977,12/31/2022,1/1/1977,12/31/2019,,,43
Orthophosphate as P,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1991,12/31/2022,1/1/1981,12/31/2022,11/1/1990,12/31/2022,1/1/1991,12/31/2022,1/1/1991,12/31/2019,,,29
pH,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Specific conductance,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Sulfate,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1993,12/31/2022,1/1/1983,12/31/2022,3/1/1993,12/31/2022,1/1/1993,12/31/2022,1/1/1993,12/31/2019,,,27
Temperature,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1975,12/31/2022,1/1/1965,12/31/2022,1/1/1975,12/31/2022,1/1/1975,12/31/2022,1/1/1975,12/31/2019,,,45
Total organic carbon,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,1/1/1986,12/31/2009,46
Total phosphorus as P,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,2/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
True color,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Turbidity,Hillsborough R at State Park,2303000,1/1/1940,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
