"title","model","per","not_fine"
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00650239561943877
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0159865748101042
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0449567214273097
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0107232489162674
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0190779014308426
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.03003003003003
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0117499429614419
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0172231054583996
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0491079314608727
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00205338809034905
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0177530471648119
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0518459636106695
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00365046771617616
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0140434552199258
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0336512983571807
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0041067761806981
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.00892068539127366
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0123653064829535
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0140314852840521
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0136901607489843
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0438085143967497
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.00798539812913535
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0285285285285285
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.104751810634164
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00844170659365728
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0174880763116058
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.046193252075605
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.012434405658225
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0236707295530825
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.0347995053877407
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0150581793292266
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0206677265500795
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0509627274333156
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00444900752908961
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.021021021021021
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0525525525525525
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00616016427104726
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0166048401342519
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0361243596537714
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.00638831850330823
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.0141317788376611
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0194311959017841
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0163130276066621
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0158099275746335
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0463698993110758
"Color Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.0111795573807895
"Color Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0309132662073839
"Color Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.106429959371136
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","1989-2012",0.0311430527036276
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2030-2060",0.122681505034446
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2070-2100",0.222310545839958
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","1989-2012",0.052703627652293
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2030-2060",0.0565271153506448
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2070-2100",0.076223282105635
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","1989-2012",0.0578370978781656
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2030-2060",0.124889595477831
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2070-2100",0.261967850203144
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","1989-2012",0.0141455624001825
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2030-2060",0.0739268680445151
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2070-2100",0.251104045221692
"Color Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","1989-2012",0.0362765229295003
"Color Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2030-2060",0.0529058470234941
"Color Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2070-2100",0.13389860448684
"Color Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","1989-2012",0.0225872689938398
"Color Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2030-2060",0.0215509627274333
"Color Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2070-2100",0.0287051757639993
"Color Hillsborough R at Morris Br","NorESM1_M_Hargreaves","1989-2012",0.0329682865617157
"Color Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2030-2060",0.0826709062003179
"Color Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2070-2100",0.213919802155096
"Color Hillsborough R at Morris Br","bcc_csm_Hargreaves","1989-2012",0.0503080082135524
"Color Hillsborough R at Morris Br","bcc_csm_Hargreaves","2030-2060",0.124536301006889
"Color Hillsborough R at Morris Br","bcc_csm_Hargreaves","2070-2100",0.331390213743155
"Fluoride Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00650239561943877
"Fluoride Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0159865748101042
"Fluoride Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0449567214273097
"Fluoride Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0107232489162674
"Fluoride Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0190779014308426
"Fluoride Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.03003003003003
"Fluoride Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0117499429614419
"Fluoride Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0172231054583996
"Fluoride Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0491079314608727
"Fluoride Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00205338809034905
"Fluoride Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0177530471648119
"Fluoride Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0518459636106695
"Fluoride Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00365046771617616
"Fluoride Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0140434552199258
"Fluoride Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0336512983571807
"Fluoride Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0041067761806981
"Fluoride Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.00892068539127366
"Fluoride Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0123653064829535
"Fluoride Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0140314852840521
"Fluoride Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0136901607489843
"Fluoride Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0438085143967497
"Fluoride Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.00798539812913535
"Fluoride Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0285285285285285
"Fluoride Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.104751810634164
"Fluoride Hillsborough R at Morris Br","BNU_ESM_Hargreaves","1989-2012",0.0311430527036276
"Fluoride Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2030-2060",0.122681505034446
"Fluoride Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2070-2100",0.222310545839958
"Fluoride Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","1989-2012",0.052703627652293
"Fluoride Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2030-2060",0.0565271153506448
"Fluoride Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2070-2100",0.076223282105635
"Fluoride Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","1989-2012",0.0578370978781656
"Fluoride Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2030-2060",0.124889595477831
"Fluoride Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2070-2100",0.261967850203144
"Fluoride Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","1989-2012",0.0141455624001825
"Fluoride Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2030-2060",0.0739268680445151
"Fluoride Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2070-2100",0.251104045221692
"Fluoride Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","1989-2012",0.0362765229295003
"Fluoride Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2030-2060",0.0529058470234941
"Fluoride Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2070-2100",0.13389860448684
"Fluoride Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","1989-2012",0.0225872689938398
"Fluoride Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2030-2060",0.0215509627274333
"Fluoride Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2070-2100",0.0287051757639993
"Fluoride Hillsborough R at Morris Br","NorESM1_M_Hargreaves","1989-2012",0.0329682865617157
"Fluoride Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2030-2060",0.0826709062003179
"Fluoride Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2070-2100",0.213919802155096
"Fluoride Hillsborough R at Morris Br","bcc_csm_Hargreaves","1989-2012",0.0503080082135524
"Fluoride Hillsborough R at Morris Br","bcc_csm_Hargreaves","2030-2060",0.124536301006889
"Fluoride Hillsborough R at Morris Br","bcc_csm_Hargreaves","2070-2100",0.331390213743155
"Iron Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00695870408396071
"Iron Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0175763999293411
"Iron Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.051051051051051
"Iron Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0130047912388774
"Iron Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0211093446387564
"Iron Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.0322381204734146
"Iron Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0148300250969655
"Iron Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0219042571983749
"Iron Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0578519696166755
"Iron Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00273785078713207
"Iron Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0195195195195195
"Iron Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0581169404698817
"Iron Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00444900752908961
"Iron Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0165165165165165
"Iron Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.037184243066596
"Iron Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.00513347022587274
"Iron Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.0100688924218336
"Iron Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0127186009538951
"Iron Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0161989504905315
"Iron Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.016163222045575
"Iron Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0523759053170818
"Iron Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.0100387862194844
"Iron Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0330330330330331
"Iron Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.114909026673733
"Manganese Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00695870408396071
"Manganese Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0175763999293411
"Manganese Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.051051051051051
"Manganese Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0130047912388774
"Manganese Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0211093446387564
"Manganese Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.0322381204734146
"Manganese Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0148300250969655
"Manganese Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0219042571983749
"Manganese Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0578519696166755
"Manganese Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00273785078713207
"Manganese Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0195195195195195
"Manganese Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0581169404698817
"Manganese Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00444900752908961
"Manganese Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0165165165165165
"Manganese Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.037184243066596
"Manganese Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.00513347022587274
"Manganese Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.0100688924218336
"Manganese Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0127186009538951
"Manganese Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0161989504905315
"Manganese Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.016163222045575
"Manganese Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0523759053170818
"Manganese Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.0100387862194844
"Manganese Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0330330330330331
"Manganese Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.114909026673733
"Nitrogen Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.0117499429614419
"Nitrogen Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0209326974032856
"Nitrogen Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0546723193782017
"Nitrogen Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0169974903034451
"Nitrogen Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0312665606783253
"Nitrogen Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.0422186892775128
"Nitrogen Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0211042664841433
"Nitrogen Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0284402049107931
"Nitrogen Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0625331213566508
"Nitrogen Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00650239561943877
"Nitrogen Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0248189365836424
"Nitrogen Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0621798268857092
"Nitrogen Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00901209217430987
"Nitrogen Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0219925808161102
